name,circle_code,circle_cut,day,sells_commision,sells_comic,sells_artbook,sells_photobook_general,sells_novel,sells_game,sells_music,sells_goods,sells_handmade_crafts,sells_magazine,sells_photobook_cosplay,circle_facebook,circle_instagram,circle_twitter,circle_other_socials,marketplace_link,fandom,other_fandom,rating,sampleworks_images
Maghfirare,AA-01,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/maghfirare.jpg,Both Days,False,True,False,False,False,False,False,False,False,False,False,https://facebook.com//maghfirare/,https://instagram.com//maghfirare/,https://twitter.com//maghfirare/,,,Original,-,PG,
Memento Mori,AA-02,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/memento_mori.jpg,Both Days,False,True,True,False,False,False,False,True,True,False,False,https://www.facebook.com/RealBWusagi/,https://www.instagram.com/bwusagi/,https://twitter.com/bwusagi,,,-,-,PG,
Lunacerra,AA-03,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/lunacerra.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,False,,https://instagram.com/lunacerra,https://twitter.com/lunacerra,,,Genshin Impact,HSR,GA,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/a19bd36b-35fb-4f58-86bb-4716be3d7d61/AA-03.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/edf0108c-8b3c-4d7a-a131-a07aff0da78b/AA-03.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/161a4d92-9eb2-4d4d-ab7d-e3bfd572fbd7/AA-03.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/3fd5dc7f-479c-42cf-87af-8be714f7542c/AA-03.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/679b8e90-156b-47f4-97a9-32e0bc889668/AA-03.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/735c0bb7-5ced-4292-be01-f17203b416e0/AA-03.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/bb3a7eab-fffa-415d-8f72-b5b1591b481a/AA-03.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/730d956f-de5c-4979-8f8d-f50aadeb36de/5bb5ffbc-8035-4545-be15-7b95fef1b79d/AA-03.jpg']"
Kejiyaa21,AA-04,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/kejiyaa21.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,,https://instagram.com/kejiyaa21,,,,Trigun,"Witch Hat Atelier, Undertale, Genshin Impact",GA,
MAZJOJO,AA-05,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/mazjojo.jpg,Both Days,False,True,True,False,False,True,False,True,False,False,False,https://facebook.com/mazjojoart,https://instagram.com/mazmazjojo,https://twitter.com/mazjojomania,,,Original,-,M,
Fumato,AA-06,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/fumato.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,,,https://twitter.com/fumaimpact,,,Fate,-,GA,
YamKio,AA-07,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/yamkio.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,False,https://www.facebook.com/Yammkioo,https://www.instagram.com/oyakorodesu/,https://twitter.com/Oyakorodesu,,,Genshin Impact,ff14,GA,
Crovius X Rozelque,AA-08,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/circle_cut_blank.jpg,Both Days,True,False,False,False,False,False,False,True,False,False,False,,https://www.instagram.com/crovius/,https://twitter.com/Crovius_,,,Genshin Impact,"Honkai Star Rail, Final Fantasy XIV, Original",PG,
Ichigowarano,AA-09/AA-10,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/ichigowarano.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,False,,https://www.instagram.com/ichigowarano/,https://twitter.com/ichigowarano,,,Genshin Impact,Honkai Star Rail,GA,
Mythia Batford,AA-11/AA-12,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/mythia.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,,https://www.instagram.com/mythiavtuber/,https://twitter.com/MythiaVTuber,,,VTuber,-,PG,
KISE SENSEI,AA-13,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/kise_sensei.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,False,https://www.facebook.com/chenyeh.wong,https://www.instagram.com/kise_t9/,https://twitter.com/kise_t9,https://www.pixiv.net/users/5088139,,Blue Archive,"Sousou no Frieren, Bocchi the Rock, Oshi no Ko",PG,
Warung Pecel,AA-14,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/warung_pecel.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,False,https://www.facebook.com/with.Dis.Is.LeLe,https://www.instagram.com/dis.is.lele,https://www.twitter.com/DisIsLeLe,,,One Piece,"One Piece, Genshin Impact, Honkai Star Rail, Berserk, Jojo's Bizzare Adventure",GA,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/f33002c3-ad47-49a8-80ca-4e08f6c1c4fd/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/23547009-c8cb-4ca0-acb9-bfa2e7ef5f91/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/25b3a289-adfc-4262-8b7a-094417192afe/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/01995ea6-aa0c-4437-9c4a-bdb95491ae10/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/8479272f-70a6-4165-87c3-0b05bc2cac1d/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/01291a69-5f47-4026-839f-d8b631b576f6/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/1e43fcfc-ad0c-4be7-bf7a-77b60a74e7cb/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/b85612f5-7c83-48c7-bd70-c4989ff9a286/AA-14.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/9278fded-c3a9-49be-9f84-0ca1a51a4a32/da52fadb-cb3b-45e6-803d-1836e3d02be9/AA-14.jpg']"
CADO CADO UNIVERSE,AA-15,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/circle_cut_blank.jpg,Both Days,False,True,False,False,True,False,False,True,False,False,False,,https://www.instagram.com/ferdirivahamzah/,@ferdiriva,,,Comic,Animation,GA,['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/2c47d7b9-d24a-4cf4-bdb7-25889f4119ee/16d1ef9b-55ee-45a2-af54-f97ed2654435/AA-15.jpg']
GHOSTY's COMIC,AA-16/AA-17,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/ghosty.jpg,Both Days,False,True,False,False,False,False,False,True,False,False,False,https://www.facebook.com/GHOSTY.COMIC,https://instagram.com/ghosty_comic,https://twitter.com/jaretghosty,,,-,-,PG,
Nekonoi Katsu,AB-01,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/nekoinoi.jpg,Both Days,False,False,False,False,False,False,False,False,False,False,True,https://www.facebook.com/nekonoikatsu,https://www.instagram.com/nekonoikatsu/,https://twitter.com/nekonoikatsu,,,Cosplay,-,GA,
Yukitora Keiji,AB-02,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/yukitora_keiji.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,True,https://www.facebook.com/profile.php/?id=100045082624709,https://www.instagram.com/yukitora_keiji/,https://twitter.com/Yukitorakeiji,,,Genshin Impact,"Honkai Star Rail, Tekken 8",PG,
Susu Kacang,AB-03/AB-04,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/susu_kacang.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,True,https://www.facebook.com/rainbowfluffyunicorn,https://www.instagram.com/hkxsyr?igsh=ZnEzZ2h5Y3NsdmRy&utm_source=qr,https://x.com/hkxsyr2,,,genshin impact,Path to nowhere,M,
LINGKOR,AB-05/AB-06,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/lingkor.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,True,,https://www.instagram.com/rumie.rre/?hl=id,,,,Honkai Star Rail,Genshin,GA,
SoraNori X Satomiz,AB-07/AB-08,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/soranori.jpg,Both Days,False,True,True,False,False,True,False,True,True,False,True,https://www.facebook.com/SoranoriArt/,https://www.instagram.com/soranoriart/,https://twitter.com/Soranoriart,,,"Original, Hololive","Pokemon, Cosplayer",GA,
KARIDERION,AB-09,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/kariderion.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,True,,https://instagram.com/erion06,https://twitter.com/teasnspices,,,Trigun Stampede,"Mushoku Tensei, Atelier Ryza",M,
KRRN x G-Elys x Aspira Project,AB-10,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/krrn_x_g-elys.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,True,https://www.facebook.com/krrn.rin,https://www.instagram.com/krrn_rin,https://twitter.com/krrn_rin,,,Vtuber,"Youtuber, Streamer, ASMR, Idol Group",M,
Riryine,AB-11,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/riryine.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,True,https://www.facebook.com/riryineworks,https://www.instagram.com/riryine,https://x.com/riryine,,,Blue Archive,"Genshin Impact, Honkai Star Rail, NIKKE, Azur Lane, FGO",PG,
VILITERA X RE.RENTCOS x JU.RENTCOS,AB-12/AB-13,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/vilitera.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,,,,,,Cosplayer,-,PG,
TT Rue Netta (Taiki Theo X Rue Netta),AB-14,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/tt_rue_netta.jpg,Both Days,False,False,False,False,False,False,False,False,False,False,True,,,,,,Nikke,"Blue Archive, Genshin, Honkai Star Rail, Tekken",PG,
JETSUKII,AB-15,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/jetsukii.jpg,Both Days,False,False,False,False,False,False,False,False,False,False,True,https://www.facebook.com/JetsukiiCosplay,https://instagram.com/jetsukii,https://x.com/jetsukii/,,,Genshin Impact,"Vtuber, Valorant",M,
Excalibur LARP & Costumer Store,AB-16/AB-17,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/excalibur.jpg,Both Days,False,False,False,False,False,False,False,False,True,False,False,,https://instagram.com/excalibur_larpstore,,,,Medieval fantasy,-,GA,
Eastwood Gun,AB-18/AB-19,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/eastwood.jpg,Both Days,False,False,False,False,False,False,False,True,True,False,False,,https://www.instagram.com/eastwood.gun/,https://twitter.com/eastwood_gun,,,Original,"Honkai Star Rail, Apex Legends, Psycho Pass",GA,
BARA GAMES,AB-20,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/bara_games.jpg,Both Days,False,False,False,False,False,True,False,False,False,False,False,https://www.facebook.com/collectorx.game,https://www.instagram.com/collectorx_game,https://www.twitter.com/collectorx_game,,,MMORPG,mobile game,GA,
Re:Memories,AB-21/AB-22,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/re_memories.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,https://www.facebook.com/rememories.id,https://www.instagram.com/rememories.id/,https://twitter.com/Rememories_id,,,VTuber,"Virtual Youtuber, Elaine, Chloe, Cecilia, Lily, Reynard, rimu, chiara, marin, leo",GA,
Project Livium,AB-23/AB-24,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/livium.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,False,https://www.facebook.com/projectLIVIUM,https://www.instagram.com/projectlivium/,https://twitter.com/ProjectLivium,,,Virtual Youtuber Indonesia,-,GA,
Hai Halo Epel!,AB-25,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/hai_halo_epel.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,https://www.facebook.com/HaiHalo.Epel,https://www.instagram.com/haihalo.epel,https://x.com/EpelEvelyn,,,Vtuber,-,PG,
Nazellia Ryoku VTuber,AB-26,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/nazellia_ryoku.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,,,https://twitter.com/nazel_ryo,,,VTuber Indie,VTuber Related Content,GA,
Hi-Clay Studio,AB-27,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/hi-clay_studio.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,https://www.facebook.com/hi.clay.studio/,,https://twitter.com/hiclaystudio,,,Pandaclip,-,PG,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/dfb985b9-6bd6-4c87-b3b5-ca6f6f3e89bb/60e1ac59-cbde-4071-a91b-79ebdf166e78/AB-27.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/dfb985b9-6bd6-4c87-b3b5-ca6f6f3e89bb/1115417f-d892-4013-b5a9-cfc80d152e0f/AB-27.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/dfb985b9-6bd6-4c87-b3b5-ca6f6f3e89bb/0c0ebceb-d4ec-441c-834a-885e6f62b7bc/AB-27.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/dfb985b9-6bd6-4c87-b3b5-ca6f6f3e89bb/453e180c-88c1-491d-ab56-f8ffbc92d928/AB-27.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/dfb985b9-6bd6-4c87-b3b5-ca6f6f3e89bb/c24ee6c7-597b-43ce-912e-42b27585243c/AB-27.jpg']"
ENIGMYST Project,AB-28,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/enigmyst_project.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,,,https://twitter.com/enigmystproject,,,ENIGMYST Project Virtual YouTuber Group,-,GA,
Strakat,AB-29,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/strakat.jpg,Both Days,False,False,False,False,False,False,False,True,True,False,False,,https://www.instagram.com/strakat.factory,,,,Eyeshield 21,"Jujutsu Kaisen, Jojo Bizarre Adventure",GA,
VINRYLGRAVE,AB-30/AB-31,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/vinrylgrave.jpg,Both Days,False,False,True,False,False,False,False,True,False,False,False,https://www.facebook.com/artvinrylgrave,https://www.instagram.com/vinrylgrave/,,https://www.tiktok.com/@vinrylgrave,,JJK,"AOT, JJK, Honkai StarRail, SpyxFam, Demon Slayer, Tokyo Revenger, OPM, One Piece, My Hero Aca",GA,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/00f4fa45-66aa-466c-893a-89f4c32580ae/b0fc536a-8289-464c-8134-cc91bbe317c3/AB-30/AB-31.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/00f4fa45-66aa-466c-893a-89f4c32580ae/dde4cbde-52b9-416b-9cee-65d8854ae787/AB-30/AB-31.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/00f4fa45-66aa-466c-893a-89f4c32580ae/7b6eb75b-b4db-487e-8db6-b311665afcc4/AB-30/AB-31.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/00f4fa45-66aa-466c-893a-89f4c32580ae/cd27926e-96c1-49fb-a3aa-7ce77b34050f/AB-30/AB-31.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/00f4fa45-66aa-466c-893a-89f4c32580ae/40439d56-17c0-42e2-a90b-9563f1d26180/AB-30/AB-31.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/00f4fa45-66aa-466c-893a-89f4c32580ae/acd9559d-da58-4998-8b45-00bdd3ad1f6d/AB-30/AB-31.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/00f4fa45-66aa-466c-893a-89f4c32580ae/802b25ac-175e-4bc7-9add-2ebc8204b02a/AB-30/AB-31.jpg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/00f4fa45-66aa-466c-893a-89f4c32580ae/6acf5040-1d51-492f-bea2-0ed419b9f6f0/AB-30/AB-31.jpg']"
TACTYLE Art & Hobby,AB-32,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/tactyle.jpg,Both Days,False,False,False,False,False,False,False,True,True,False,False,,https://Instagram.com/tactyleart,,,,Digimon,"Persona, Tekken, Valorant, Vtuber,etc",GA,
Missrealitybites & SagaStories,AB-33/AB-34,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/missreality.jpg,Both Days,False,True,True,False,True,False,False,True,False,False,False,https://web.facebook.com/vina.missrealitybites/,https://instagram.com/missrealitybites/,https://twitter.com/msrealitybites/,,,N/A,-,M,
IMAJINARIUM KREASI NUSANTARA,AB-35/AB-36,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/circle_cut_blank.jpg,Both Days,False,True,True,True,True,True,False,True,False,False,False,,@billychristianfilms,,,,Komik,Novel,GA,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/c2c81478-1fdc-4661-b7cc-8435492dbf3d/211bd39a-ad9e-4c3a-99bb-f8c1f9c265fb/AB-35/AB-36.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/c2c81478-1fdc-4661-b7cc-8435492dbf3d/8dc1dfde-bedf-4416-a447-606e96add49f/AB-35/AB-36.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/c2c81478-1fdc-4661-b7cc-8435492dbf3d/6c7cc28a-986a-4f00-95e0-f0c43d3ffb59/AB-35/AB-36.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/c2c81478-1fdc-4661-b7cc-8435492dbf3d/53cd7839-824c-4278-8f10-99a9b308265b/AB-35/AB-36.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/c2c81478-1fdc-4661-b7cc-8435492dbf3d/856a1753-40d2-4945-9cba-69605fde27b9/AB-35/AB-36.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/c2c81478-1fdc-4661-b7cc-8435492dbf3d/5014cf58-007e-400d-8aac-62e2394b088f/AB-35/AB-36.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/c2c81478-1fdc-4661-b7cc-8435492dbf3d/19ce8d06-fc72-4e9d-9af8-701798bf73fb/AB-35/AB-36.jpeg']"
Medium Rare,AB-37,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/medium_rare.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,,,https://twitter.com/MediumRarePain,,,Non-specific Anime-oriented,-,GA,
Noemera Studio,AB-38,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/noemera_studio.jpg,Both Days,False,False,False,False,False,False,False,True,True,False,False,,https://www.instagram.com/noemera,,,,One Piece,"Jujutsu Kaisen, Slamdunk, Genshin Impcat",GA,
Pixelo,AB-39,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/pixelo.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,https://www.facebook.com/pixeloart/,https://www.instagram.com/pixelo.id,,,,one piece,jujutsu kaisen,GA,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/0a8079e9-e3e3-41b5-b645-1cb08c3a6259/6c4e631d-16bf-4e40-beb3-1d671c4d95c0/AB-39.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/0a8079e9-e3e3-41b5-b645-1cb08c3a6259/0331d458-5525-4e87-96b4-f1463f7df278/AB-39.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/0a8079e9-e3e3-41b5-b645-1cb08c3a6259/5161955d-1e78-456c-b135-33ca8c3a94b6/AB-39.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/0a8079e9-e3e3-41b5-b645-1cb08c3a6259/97786d23-b248-4341-bd55-422fba445911/AB-39.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/0a8079e9-e3e3-41b5-b645-1cb08c3a6259/62fb34ed-a930-45f2-9296-0b2c8647331f/AB-39.png', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/0a8079e9-e3e3-41b5-b645-1cb08c3a6259/7f43b2f0-5012-4eb0-9b89-38472e8c7238/AB-39.png']"
Yumekawa-ya!,AB-40/AB-41,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/yumekawa_ya.jpg,Both Days,False,False,False,False,False,False,False,True,True,False,False,https://facebook.com/yumekawaya,Https://instagram.com/yumekawaya,,,,One Piece,"One Piece, Mashle, Frieren, Honkai Star Rail, Genshin Impact, Horimiya, Skip and Loafer, Kimi ni Todoke, Spy x Fam, Ghibli, Nijisanji, Hololive, Jujutsu Kaisen, Blue Lock, Oshi no Ko, Attack on Titan, Kimetsu no Yaiba, Handmade crafts",GA,"['https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ba66715c-d5f1-4a95-833e-66181560dd49/d54aafee-2aad-4700-a95e-8e3d1981b0af/AB-40/AB-41.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ba66715c-d5f1-4a95-833e-66181560dd49/77b0b9a5-89c6-457c-be40-c1b4d6f285f1/AB-40/AB-41.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ba66715c-d5f1-4a95-833e-66181560dd49/aafa8bbe-840c-46bb-8ada-5d3c5e3d6fc6/AB-40/AB-41.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ba66715c-d5f1-4a95-833e-66181560dd49/a3dc261e-0f68-4451-bad3-03434dadccbc/AB-40/AB-41.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ba66715c-d5f1-4a95-833e-66181560dd49/6f8e35cf-0d2e-41cf-9769-953fb47f0b83/AB-40/AB-41.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ba66715c-d5f1-4a95-833e-66181560dd49/d984f91d-14a6-4021-912d-d6e1144c4459/AB-40/AB-41.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ba66715c-d5f1-4a95-833e-66181560dd49/439a73a5-84ec-46bc-879c-5d8bfc84bf66/AB-40/AB-41.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ba66715c-d5f1-4a95-833e-66181560dd49/1a6b4f03-9dc6-481d-b1f4-040f4fbacb88/AB-40/AB-41.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ba66715c-d5f1-4a95-833e-66181560dd49/ce03ad02-0232-4d51-96ca-6ec1f0639458/AB-40/AB-41.jpeg', 'https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-sampleworks-18/ba66715c-d5f1-4a95-833e-66181560dd49/688f1ba6-cc12-40a2-8d64-b422ff47d971/AB-40/AB-41.jpeg']"
ApaNa.ID,AB-42/AB-43,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/apana.jpg,Both Days,False,False,False,False,False,False,False,True,False,False,False,,https://www.instagram.com/apana.id,,,,Onepiece,"X-men, Chainsaw Man, Demon Slayer",GA,
Dahlah Ngantor,AB-44,https://kumxjefxtrrpzalmwvvr.supabase.in/storage/v1/object/public/circle-cut-18/dahlah_ngantor.jpg,Both Days,False,False,False,False,False,True,False,True,False,False,False,,,https://twitter.com/DahlahNgantor,,,Nijisanji ID,-,GA,
